# id:2--2-2
0.46,0.25,0.044555168475447
-0.35,0.17,0.16200223116947
-0.12,-0.7,-0.68778962191592
0.67,-0.8,-1.2422364805195
-0.36,-0.22,-0.48524593761282
-0.6,-0.26,-0.72286637306022
0.05,0.59,0.70717680732955
0.47,0.21,-0.025408335568197
0.93,-0.7,-1.8272579129177
0.8,0.86,0.21700280938468
0.27,-0.04,-0.2324970007941
0.27,-0.12,-0.13069243122631
0.5,0.73,0.41650639125295
-0.74,0.71,0.27833312763665
-0.51,0.5,0.14510886739237
0.84,0.96,0.1828107980209
-0.25,-0.51,-0.5532349210996
0.13,0.64,0.87781749200232
-0.21,-0.21,-0.060631808523276
0.84,0.43,-0.46841020843202
0.57,-0.77,-0.88871694505504
-0.83,-0.38,-0.99076704832364
0.82,0.64,-0.066720758851131
0.83,0.74,0.08055159930009
0.95,0.62,-0.55939935786832
0.6,0.21,0.073979413366744
-0.42,-0.13,-0.11096666148204
-0.91,-0.93,-1.8301267399561
-0.41,-0.64,-1.1118325476868
0.79,0.09,-0.743363834977
0.86,0.62,0.444183011621
0.04,-0.39,0.08257322652959
-0.89,-0.83,-1.1788162634961
-0.76,-0.1,-0.573021868371
-0.03,-0.93,-0.71334954887055
-0.67,-0.46,-0.56612395385
-0.7,-0.5,-0.81385941740278
0.16,-0.88,-1.0489086702316
-0.86,-0.01,-0.96993731892729
0.87,-0.92,-1.723497048462
-0.4,0.47,0.46096495557944
0.3,0.19,-0.047085096757811
-0.67,0.39,-0.12504964845023
0.27,-0.08,-0.22373496830678
0.75,0.06,-0.23319022370468
-0.99,0.61,-0.48175878924056
-0.32,0.05,-0.11647037511565
-0.78,-0.21,-0.90924283623129
0.23,-0.54,-0.60996825326607
0.69,-0.81,-1.1441819512267
-0.47,-0.99,-1.268013298675
-0.27,-0.16,0.17340845711559
-0.48,0.89,0.84093614684312
-0.04,-0.34,-0.15491598064009
-0.13,-0.17,-0.36094452701366
-0.25,0.48,0.36726508634121
-0.71,-0.96,-1.6084614208523
-0.33,-0.38,-0.62294467864436
0.44,0.94,1.072781668067
0.55,0.19,-0.12921929042448
-0.01,0.56,0.40002741807356
-0.2,0.68,0.85579342657333
-0.39,0.02,-0.13482819003587
-0.54,0.84,0.40875453573733
0.48,-0.86,-0.94216249194993
-0.98,-0.99,-1.7601891850681
-0.84,-0.24,-0.97963667229851
-0.15,-0.32,-0.59392989728399
-0.35,0.82,0.53632507927934
0.35,0.53,0.42091211013955
-0.36,-0.91,-1.2169693325706
0,-0.07,-0.020077102083892
-0.86,0.68,0.016801101002114
0.55,0.58,0.19308742208718
